,title,author,dept,year,advisor,abstract
24,Prosjekt Nytt Nasjonalmuseum: Negotiating a Norwegian Identity,"Huynh, Diana","Political Science
Art",2015,,"There is a vast amount of attention in Norway going into cultural institutions that is supposed define the image of the capital and Norwegian society. The focus on 'building culture' has nevertheless left a lacuna of what or where the Norwegian identity is in relation to this process. Former definitions of the state and the general consensus of what it means to be Norwegian have in many ways changed over the past three decades. I am therefore interested in crafting a response to the fleeting conditions of this Norwegian identity at the start of the century, by considering the way it is represented through the building of a museum. As a case study, the new National Museum of Arts, Architecture and Design in Oslo, or Nasjonalmuseet as it is better known, can in many ways be described as an interface that bridges the 'new' ideas with the 'old', and thereby revealing how the formulation of what the Norwegian identity might be is under negotiation My discussion exists amidst a larger discourse of the role cultural institutions and urban development play in the formulation of a Norwegian identity in the twenty-first century. In addition to arrive at predictions about the new museum as such, I hope to respond to how this is reflective of a broader framework of the cultural, economic and political situations in Norway."
25,L'Image de l'anthropologue français à travers les siècles (1771-2006),"Lettere, Isabella","French
Anthropology",2015,"Prabhu, Anjali
Matzner, Deborah",
26,Ideal ECB Policy: Lessons from Ideal Interest Rate Deviations in EMU Member Countries,"Gu, Angela",Economics,2015,,
27,Euler: An Interactive Sound Installation,"Mora, Ariana",Music,2015,"Johnson, Jenny","Given my diverse background, I wanted to develop a thesis that reflected my various interests in music and science. I discovered the thrill and freedom of electronic music in my junior year, and this sound installation, ""Euler"", is an exploration of the intersections present between math, music, and nature. I found with continued investigation that these three aspects are intrinsically connected, which can be shown musically through careful compositional techniques. Using sounds recorded from nature, specifically sounds I recorded on my trip to the rainforests of Costa Rica this winter, I had my ""notes"" to form my composition, and my responsibility was then the same as any other composer: create something that evokes thought or emotions from sounds. With this interactive sound installation, I hope to pass the proverbial baton to the audience so they themselves can be the composers and surround themselves in a rich sound and visual space."
28,Exploring Gender Identification Effects on Stereotype Threat,"Westendorf, Lauren",Psychology,2015,"Norem, Julie",
29,Modeling partial lipodystrophy using human pluripotent stem-cell derived CIDE-C E186X mutant adipocytes,"Tran, Audrey A",Biological Chemistry,2015,"Matthews, Adam G.
Cowan, Chad
Hudak, Carolyn",
30,Cytokine regulation of adult neurogenesis: The immune system provides neuronal precursors for adult neurogenesis,"Cockey, Emily",Neuroscience,2015,,
31,Still life,"Park, Eunjin",Media Arts and Sciences,2015,,
32,Targets and Transmitters: The fate of brain cells derived from adoptive transfers of hemocytes,"Platto, Jody F",Neuroscience,2015,,
33,Investigating the Link between Adult Neurogenesis and the Innate Immune System,"Li, Jingjing",Neuroscience,2015,,
34,The Correlation between Introversion-Extroversion and Measures of Happiness,"Brown, Courtney",Psychology,2015,"Cheek, Jonathan",
35,Defector' as Socio-Lexical Labeling: A corpus-based discourse analysis of North Korean defector narratives in South Korea,"Yi, Claire",Peace and Justice Studies,2015,"Confortini, Catia
Lee, Sun-Hee",
36,Speciesism: What is it? What Should We Do About it?,"Takaoka, Bianka",Philosophy,2015,"Matthes, Erich",
37,Antecedentes del movimiento actual para la independencia de Cataluña: Una aproximación multidisciplinaria,"Schultz, Emily",Spanish,2015,"Ramos, Carlos","My thesis, written in Spanish, provides a multidisciplinary analysis of the contemporary Catalan independence movement in Spain. This movement is related to the complicated political, cultural, and economic history of Spain. I argue that Catalan nationalism and its processes of identification have responded to economic crisis and political oppression that have occurred in Spain throughout history."
38,Interpreting Justice: A Critique of Free Market Fairness,"Lemoine, Bridgette",Philosophy,2015,"de Bres, Helena",
39,Implications of Adolescent Narcissism for Psychological Health in Late Adulthood,"Notsu, Haruka",Psychology,2015,"Wink, Paul M.
Theran, Sally A.
Cheek, Jonathan M.","Data from a long-term longitudinal study were used to investigate the relationship between grandiose narcissism in adolescence (ages 15-18) and psychological health in late adulthood (age 70s). Participants were born in 1920s in the San Francisco Bay Area and were assessed in adolescence and four times in adulthood (age 30s, 40s, 50s and 70s). Narcissism was assessed with the observer-based California Q-set and psychological health in late adulthood was measured with an index comprising of self-reported ratings of depression, life satisfaction, and mental health. Adolescent narcissism predicted poor psychological health in late adulthood even after accounting for socio-demographic characteristics, psychological health in late adolescence, and narcissism measured in adulthood. The association between adolescent narcissism and psychological health in late adulthood was moderated by the experience of stressful life events in early adulthood, especially those involving personal conflicts and death in the family. Poor psychological health in late adulthood was particularly characteristic of female adolescents who scored high on narcissism, and subsequently experienced personal conflicts in their 20s and early 30s."
40,A Tale of Two Airstrikes: The Effect of Mass-Casualty Airstrikes on Security in Farah and Kunduz Provinces,"Rathod, Saraswati",Political Science,2015,"MacDonald, Paul K.
Goddard, Stacie","Airstrikes have been thrust into the spotlight recently, in part because of their integral role in the campaign against the Islamic State but also because of the Saudi bombing campaign in Yemen. In fact, air power has long been a critical component of U.S. strategy in counterinsurgency warfare. If we are to continue to use airstrikes in order to fight violent extremism, we must understand their effects on local security. Yet relatively little satisfying research exists which explores the effects of airstrikes on local levels of violence. Previous studies limit themselves to tracking the number and location of insurgent attacks rather than examining the broader character of insurgent violence and how much that violence impacts the daily lives of local residents. Additionally, large nation-wide statistical analyses prevent us from deeply examining the ways in which specific local conditions influence the repercussions of an airstrike. Overall, more nuance is needed if we are to truly understand the effect of airstrikes on local insurgent violence. In this study, I turn to two cases in Afghanistan-the May 4 airstrike in Farah Province and the September 4 airstrike in Kunduz Province. Both incidents were mass-casualty airstrikes, which resulted in the deaths of over 100 civilians by some estimates. I used news reports and interviews with three military personnel and a civilian aid worker who were on the ground in Kunduz to better understand the effect of the airstrikes on local security. The results were entirely different in the two cases. While the Farah airstrike resulted in widespread political backlash and an increase in insurgent violence, the Kunduz airstrike resulted in virtually no political backlash and a decrease in insurgent violence. All in all, the results demonstrate that the changes in the security landscape, even after a large mass-casualty airstrike, are subtle and contingent upon local conditions."
41,Evaluating the Effectiveness of US Strikes as a Counterterrorism Policy in Yemen,"Ganesh, Lavanya",Political Science,2015,"MacDonald, Paul K.","The effectiveness of drone strikes as a counterterrorism measure is the core of U.S policymakers' arguments for their continued use. With Yemen becoming a critical topic of national security due to the growing strength of al Qaeda in the Arab Peninsula (AQAP), an assessment about the effectiveness of drone strikes should allow for officials and critics alike to evaluate the tradeoffs associated with drone warfare. This thesis studies the impact of US counterterrorism policy on AQAP violence using regression analysis and qualitative methods."
42,Personalized Air Quality Sensing: A Case Study Analysis in Singapore,"McCormack-Mager, Meredith",Mathematics,2016,"Tannenhauser, Jonathan
Nyhan, Marguerite",
43,"The ""Natures"" Of Protected Areas – Environmental management and its impacts on local residents in China and Taiwan","Nugent, Leah",Environmental Studies/Science,2016,"Turner, James Morton
Goodall, Katie
Lam, Yuan-Chu Ruby",
44,"En el laberinto aleixandrino: Traducción de Espadas como labios de Vicente Aleixandre, el Nobel olvidado","Olichney, Nicole Aili",Spanish,2016,"Gascón-Vera, Elena",
45,Characterizing the adhesive properties of cytokine receptor IL17Ra during brain development,"Park, Ashley",Neuroscience,2016,"Matthews, Adam
Yim, Yeong Shin
Choi, Gloria",
46,Humanism and Hebraism: Christian Scholars and Hebrew Sources in the Renaissance,"Puzzanghera, Kathryn",Religion,2016,"Marini, Stephen
Silver, Edward
Marlow, Louise",
47,"To Be Totally Free: Galina Ustvolskaya, Sofia Gubaidulina, and the Pursuit of Spiritual Freedom in the Soviet Union","Regovich, Kathleen",Music,2016,"Bhogal, Gurminder Kaur","As women composers in the Soviet Union, Sofia Gubaidulina and Galina Ustvolskaya occupy a unique niche in twentieth-century music history. A lack of access to the technical training required to develop compositional skills is often cited as a primary reason women composers struggled to reach the same prominence as their male colleagues. Living in an ostensibly egalitarian society, Gubaidulina and Ustvolskaya were treated as equal to their male counterparts and given greater access to education than many women in the West. This increased access to musical education represents an unprecedented experiment in classical music history. Both Gubaidulina and Ustvolskaya developed compositional styles which are neither traditional nor avant-garde, but strikingly unique. In the face of a regime which sought to limit their artistic expression, these women found freedom and independence in their music."
48,"""Let Us Record the Atoms as They Fall Upon the Mind"" The Use of Objects and Animals to Convey Consciousness in Virginia Woolf's To the Lighthouse and William Faulkner's As I Lay Dying","Rogers, Genevieve",English,2016,"Peltason, Timothy
González, Octavio","The modernist movement was focused on capturing ""the unknown and uncircumscribed spirit"" of life. Virginia Woolf and William Faulkner, paragons of the modernist author, connect internal and external worlds by creating complex relationships between characters and the objects or animals they encounter in their everyday lives. Key texts studied include To the Lighthouse (Woolf, 1927) and As I Lay Dying (Faulkner, 1930), among others."
49,"All Hail the Whale: Cetaceous Metaphor, Monarchy, and Monstrosity in Shakespeare and Melville","Everett, Anna",English,2016,,"In my thesis, I have explored the role of whales in literature from Greco-Roman mythology to early English and American literature, including Shakespeare's Pericles, Lyly's Gallathea, and Melville's Moby-Dick, as well as touched on some fiction of today. I pay particular attention to queer readings of these texts as well as to the role that gender plays in them. I argue that at this time in history, literature is the most definitive authority on the multifarious nature of whales. Whales are a powerful metaphor for politics on land, sexual predation, tyranny, and godliness. Because of their both terrifying and awe-inducing nature, whales are sublime."
50,"Mehndi, Democratized Media, and the Indian American Experience","Gupta, Tara",Media Arts and Sciences,2016,"Olsen, David Teng",
51,"Beyond the Loom: Examining the Relationship Among Gender, Textiles, and Architecture at the Bauhaus","Hakanoglu, Orli",Architecture,2016,"Berman, Patricia
Mowbray, Andrew","Nearly 100 years ago, the Bauhaus, the German school of architecture, design, and art, opened its doors to its students. Known for its radical social and artistic experimentation, the design and theory that came from the school is still relevant today. The Bauhaus was founded during a critical moment of social change, one shaped by the horrors of the Great War, by Germany's defeat, and by its economic and political restructuring. The Bauhaus promoted a spirit of equality through its curriculum and output. Yet, the agenda of equality did not reach so far as to eliminate the distinctions between women and men at the Bauhaus. While women were accepted into the school, their exclusion from all workshops other than the weaving workshop indicates a clear division of sexes. My research considers the life, work, and writing of Anni Albers, a student of the Bauhaus whose woven and graphic work is celebrated today. This paper provides a brief background on the historic relationship of gender, weaving, and status before focusing specifically on Albers. In light of the barring of women from architecture, I consider her work as an strategic intervention with the framework of limitations posed by being a woman at the Bauhaus, identifying ways in which she asserted the importance of her craft, aligning it with modern design principles of the Bauhaus. A strong connection exists between Albers' theoretical writing and the principles of modern architecture, as well as a number of discourses of architectural theory. These connections illustrate Albers' attempts to break down gender barriers and carve out a voice for her medium-and by extension, for women-in the modernist movement. In addition to this written thesis, I have also created a Studio Art installation at the Jewett Arts Center related to Anni Albers' work in textiles and their relationship to Architecture. The installation responds to my research by exploring some of Albers' theories at the architectural scale."
52,Feminine Narrative and Subjectivity in Homer's Odyssey: Structuring Dichotomies and Alternative Discourses,"Johnson, Catherine",Classical Studies,2016,"Gilhuly, Kate",
53,Determining Corresponding Artinian Rings to Zero-Divisor Graphs,"Jones, Abigail Mary",Mathematics,2016,"Diesl, Alexander","We introduce Anderson's and Livingston's definition of a zero-divisor graph of a commutative ring. We then redefine their definition to include looped vertices, enabling us to visualize nilpotent elements. With this new definition, we examine the algebraic and graph theoretic properties of different types of Artinian rings, culminating in an algorithm that determines the corresponding Artinian rings to a zero-divisor graph. We also will explore and develop an algorithm for a specific case of Artinian rings, and we will conclude by examining the uniqueness of zero-divisor graphs."
54,Enumeration of A[lambda]-ice models and strict Gelfand-Tsetlin patterns,"Ju, Nianqiao",Mathematics,2016,"Schultz, Andrew","We want to generalize the alternating sign matrix conjecture. We identify the 1-to-1 correspondence between type $]mathcal{A}^{]lambda}$ ice models, whose boundary conditions are determined by integer partitions, and strict Gelfand-Tsetlin patterns. We use these connections to derive a recursive relationships on the enumeration of ice models determined by integer partitions."
55,Ladies in the Bath: Nude Portraiture in the French Renaissance,"Kerwin, Sophie",Art,2016,"Carroll, Margaret","The School of Fontainebleau produced a striking group of portraits depicting nude and half-nude women bathing or at their toilette. These paintings are exceptional for the period in that nudity was primarily reserved for allegorical or mythological contexts. The identity of the women depicted in these mysterious paintings has been a continual source of fascination for scholars who have suggested the royal mistresses Diane de Poitiers, Marie Touchet, Catherine Henriette de Balzac d'Entrague, and Gabrielle d' Estrées as well as the queen Mary Stuart as possible subjects. Beyond the women's precise identities, however, the paintings elicit many questions; this thesis explores the genre and what they reveal to us about the creative and performative nature of women's sexuality and gender at the French Renaissance court."
56,Song Exposure affects HVC Ultrastructure in Juvenile Zebra Finches,"Khaled, Houda",Biological Chemistry,2016,"Gobes, Sharon
Nunez, Megan
Webb, Drew",
57,"Lentiviral GFP Transfection of the Parthenogenic Crayfish Species, Procambarus fallax: A Tool for Examining the Source of Neural Precursor Cells In Crayfish","Chatila, Zena",Neuroscience,2016,"Beltz, Barbara",
58,Moment of Pause: Perceiving the Unseen,"Kim, Jaehyun Jennie",Art,2016,"McGibbon, Phyllis",
59,When Heads Roll: Assessing the Effectiveness of the Mexican Military's Decapitation Strategy Throughout the Course of the Drug War,"Arias De Leon, Delia",Political Science,2016,"Goddard, Stacie","In this thesis, I analyze the effects of the decapitation strategy utilized to target the cartels during the course of the Mexican Drug War. While most scholars have been critical of this strategy, I contend that, by some accounts, it has actually yielded positive results, as evidence by increased governability following cartel fragmentation."
60,Modeling the Racial Wealth Gap,"Ashman, Hero",Economics,2016,"Weerapana, Akila
Neumuller, Seth","In 2013, the median wealth of white households was 12 times higher than that of black households. Using data from the Survey of Consumer Finances, I explore the wider context of the racial wealth gap, and conclude that lower returns to investment in housing, education, and assets prohibit black households from accumulating similar levels of wealth as white households. Additionally, analysis of data from the Panel Study of Income Dynamics shows that black and white households not only face different levels of income, but black households experience relatively higher volatility of both the permanent and transitory component of their income. Using a heterogeneous agent life-cycle model with exogenous differences in income profiles, educational attainment, and mortality, I generate endogenous racial differences in wealth accumulation and homeownership rates. The model is only able to explain roughly 6 percent of the observed racial wealth gap, a surprisingly small fraction given the large racial disparities in these factors. This is interesting in its implication that substantial factors beyond income and educational differences are needed to explain the black-white wealth divide. I speculate as to what these factors are, and suggest that a larger share could be explained by an expansion of the mechanisms through which income, education, and mortality, affect wealth accumulation."
61,Voter Discrimination in Democratic Elections,"Barth, Suzanne",Economics,2016,"Park, Kyung H.","After the election of President Barack Obama in 2008, many have begun to doubt the continued relevance of candidate race in voter behavior. This study, however, hypothesizes that in low information elections, where candidate's policy preferences are not widely known, voters will discriminate against candidates they perceive as racial or ethnic minorities. This thesis finds evidence of racial and ethnic bias in voter behavior in statewide low profile elections in Texas between 1992 and 2010. Expected candidate race and ethnicity is assigned using U.S. Census Genealogical data and linear regression analysis will be used to measure the change in vote share for the Democratic Party when the candidate race and ethnicity varies."
62,Second Harmonic Generation Imaging of a Magnetic Topological Insulator,"Belvin, Carina",Physics,2016,"Berg, Robbie
Gedik, Nuh","A topological insulator (TI) is a type of quantum material that is insulating in the bulk but metallic on the surface. Due to the unique spin properties of the surface electrons, TIs have attracted much interest for their potential applications in spin-based electronics and quantum computers. Even more exotic effects occur when TIs are brought in contact with magnetic materials. This thesis represents a study of two-layer thin films consisting of the TI Bi2Se3 and the magnetic insulator EuS using a nonlinear optical technique called second harmonic generation (SHG) imaging. SHG imaging can probe the crystal and magnetic structure at the surfaces and interfaces of inversion symmetric materials. At the interface between the EuS and Bi2Se3 layers, magnetic domains are expected to form. The domain boundaries are predicted to host chiral edge states, which are dissipationless currents that flow in one direction around a domain. Using SHG imaging, our goal was to visualize the magnetic domains in this magnetic topological insulator system. Even though we have yet to observe any evidence of magnetic domains in this material, we also performed SHG imaging on monolayer MoS2 and were able to visualize distinct crystal grains. Our SHG imaging setup that was improved upon during this thesis has the potential to reveal information about other interesting quantum materials."
63,Interval Orders with Restrictions on the Interval Lengths,"Boyadzhiyska, Simona",Mathematics,2016,"Trenk, Ann","This thesis examines several classes of interval orders arising from restrictions on the permissible interval lengths. We first provide an accessible proof of the characterization theorem for the class of interval orders representable with lengths between 1 and k for each k in { 1,2,...}. We then consider the interval orders representable with lengths exactly 1 and k for k in { 0,1,...}. We characterize the class of interval orders representable with lengths 0 and 1, both structurally and algorithmically. To study the other classes in this family, we consider a related problem, in which each interval has a prescribed length. We derive a necessary and sufficient condition for an interval order to have a representation with a given set of prescribed lengths. Using this result, we provide a necessary condition for an interval order to have a representation with lengths 1 and 2."
64,"Race, Authenticity, and Reclamation in a North Carolina Old-Time Scene and in the Music of the Carolina Chocolate Drops","Boyd, Fiona",Music,2016,"Goldschmitt, Kariann
Fontijn, Claire",
65,That question's out of my part: Shakespeare's original practices and the effect of surprise,"Bussert, Katherine",English,2016,"Ko, Yu Jin","This thesis is an exploration of Shakespeare's original performance conditions and rehearsal techniques, including part-scripts, early modern staging, Original Pronunciation, and period costuming. It describes a production of Twelfth Night researched and put into practice with the Wellesley College Shakespeare Society in the fall of 2015, and what can be learned about the use of original practices with modern actors."
66,Evaluating the Combined Effects of Blt1p and Gef2p in Cytokinesis,"Kwon, Lois",Biological Sciences,2016,"Goss, John
Klepac-Ceraj, Vanja
Webb, Drew",
67,Synergistic Drug Combinations with a CDK4/6 Inhibitor Targeting T-Cell Acute Lymphoblastic Leukemia,"Lee, Emily
Pikman, Yana
Stegmaier, Kimberly",Biological Chemistry,2016,,
68,"How Does Your Garden Grow: Nature, Ecology, and the Urban Environment in Paradise Lost","Lee, Ting Shan",English,2016,"Wall-Randell, Sarah","In Milton studies, there is an underlying assumption that Milton did not engage with his contemporaries. When we think about the motivations behind Paradise Lost, we first think of Milton's poetic ambition to write the first English epic, and second the subject of creation and the fall of mankind, which is wholly disconnected from the present time. In neither case do we connect the poem to Milton's historical context. I argue that Milton was living in a literary world composed of Classical authors and his peers that had seen important meditations on what a garden can and should be. Milton was also living in a time of emerging awareness about how human actions can both endanger and be influenced by nature. In this paper, I use Milton's vision of paradise as filter to explore the environmental anxieties of early modern London. I will re-situate Paradise Lost in the context of Milton's time and place - early modern London - in order to explore the relationship between Eden and real gardens for English people in the sixteenth and seventeenth centuries. By weaving the thread of literary tradition with the thread of Milton's contemporary experiences, we will see Milton's reformist attitudes towards work and nature. In fact, Milton's Eden is a response to the emerging urban and environmental problems of his time - overpopulation, air pollution, rapid urbanization - and an enlightening study on how gardens can influence labor and sexual relations."
